33.71160 113.29800 HA HAPDS BHZ 0.107
34.01830 111.04000 HA HALS BHZ 0.595
40.89640 113.06960 NM NMJIN BHZ 1.389
41.89890 115.26810 NM NMBAC BHZ 1.477
42.29660 118.98060 NM NMCHF BHZ 0.559
43.24450 117.54500 NM NMJIP BHZ 1.081
35.40000 116.34990 SD SDJIX BHZ 0.043
34.94300 115.86900 SD SDCHW SHZ 0.063
35.80690 116.08100 SD SDLSH BHZ 0.060
36.43300 116.03400 SD SDLCH SHZ 0.030
37.19830 117.30600 SD SDSHH SHZ 0.018
37.45460 116.29930 SD SDDZH SHZ 0.035
37.91270 120.74200 SD SDCHD BHZ 0.013
37.55170 120.50820 SD SDLOK BHZ 0.168
38.39160 120.90930 SD SDBHC BHZ 0.055
39.38230 114.02100 SX SXLNQ BHZ 1.053
40.37660 120.24420 LN LNSUZ BHZ 0.041
38.01040 117.68000 SD SDDSH BHZ 0.019
37.39910 114.70730 HE HEHNS BHZ 0.031
39.74180 118.67020 HE HELUX BHZ 0.071
41.11400 114.11500 HE HESHY BHZ 1.529
36.99510 113.83900 HE HEQSP BHZ 0.901
39.73880 114.61630 HE HEYUX BHZ 1.113
36.37030 113.76090 HE HECSS BHZ 0.599
38.06760 115.56240 HE HESHZ SHZ 0.025
39.04620 115.56300 HE HESCH SHZ 0.035
39.82580 119.47780 HE HEBDH BHZ 0.020
39.73620 118.29470 HE HEDOH BHZ 0.055
39.75060 116.34470 BJ BJDAX SHZ 0.057
40.08150 116.41470 BJ BJDSQ SHZ 0.037
41.66450 115.82170 HE HEGUY BHZ 1.444
38.24820 114.30830 HE HEHBZ BHZ 0.133
40.65300 114.44150 HE HEHUA BHZ 0.824
39.51020 114.98140 HE HELAY BHZ 0.877
40.90030 116.59900 BJ BJLBG BHZ 0.518
40.10170 116.08170 BJ BJLQS BHZ 0.200
40.39440 116.56020 BJ BJMDY BHZ 0.155
40.13980 117.25430 BJ BJNSC BHZ 0.110
39.66110 115.81380 BJ BJSFS BHZ 0.175
40.44270 115.52230 HE HESHC BHZ 0.636
40.30690 117.21690 BJ BJSZL BHZ 1.060
40.08360 115.49300 HE HETAS BHZ 1.276
40.53700 117.12760 BJ BJTST BHZ 0.190
38.86230 115.06350 HE HEWAX BHZ 0.100
38.84690 116.45350 HE HEWEA SHZ 0.030
40.47830 115.04280 HE HEXUH BHZ 0.820
40.15720 115.13310 HE HEZHL BHZ 1.100
39.68810 115.92220 BJ BJZKD BHZ 0.120
40.18690 117.66080 HE HEZUH BHZ 0.125
38.96060 116.09180 HE HEXOX SHZ 0.015
36.61130 115.02750 HE HEFEX SHZ 0.039
41.19190 116.55020 HE HEFNI BHZ 0.762
36.61620 114.94730 HE HEFXT SHZ 0.016
36.18600 113.95000 HE HEHST BHZ 0.781
38.01480 115.56050 HE HESHX BHZ 0.030
41.22310 116.61790 HE HEFEN BHZ 0.677
39.01540 115.65830 HE HEXUS SHZ 0.032
41.66450 115.82170 BU BUGUY BHZ 1.444
39.96180 115.67980 BJ BJZHT BHZ 0.500
39.52070 116.31550 BJ BJYUF SHZ 0.028
40.47830 115.04280 BU BUXUH BHZ 0.820
40.90030 116.59900 BU BULBG BHZ 0.518
40.83070 114.90180 BU BUZJT BHZ 0.864
40.65300 114.44150 BU BUHUA BHZ 0.825
40.53700 117.12760 BU BUTST BHZ 0.190
40.44270 115.52230 BU BUSHC BHZ 0.636
40.39440 116.56020 BU BUMDY BHZ 0.155
40.08360 115.49300 BU BUTAS BHZ 1.276
40.30690 117.21690 BU BUSZL BHZ 1.060
40.18690 117.66080 BU BUZUH BHZ 0.125
40.15720 115.13310 BU BUZHL BHZ 1.100
40.13980 117.25430 BU BUNSC BHZ 0.110
40.10170 116.08170 BU BULQS BHZ 0.200
40.08150 116.41470 BU BUDSQ SHZ 0.037
39.89870 116.31020 BU BUFHS BHZ 0.061
39.82580 119.47780 BU BUBDH BHZ 0.020
39.75850 119.09620 BU BUCHL BHZ 0.075
39.73620 118.29470 BU BUDOH BHZ 0.055
39.75060 116.34470 BU BUDAX SHZ 0.058
39.68810 115.92220 BU BUZKD BHZ 0.120
39.66110 115.81380 BU BUSFS BHZ 0.175
39.51020 114.98140 BU BULAY BHZ 0.878
38.86230 115.06350 BU BUWAX BHZ 0.100
38.84690 116.45350 BU BUWEA SHZ 0.030
38.24820 114.30830 BU BUHBZ BHZ 0.133
39.17080 117.21890 TJ TJANK SHZ 0.003
38.97770 117.70390 TJ TJDAG SHZ 0.009
39.24000 118.00000 TJ TJSJT BHZ 0.010
35.89000 115.09000 HA HAQF SHZ 0.010
45.46890 119.65900 NM NMHLH BHZ 0.894
36.63910 117.04010 SD SDJIN BHZ 0.124
36.83600 115.71970 SD SDLIQ SHZ 0.037
37.46630 118.49900 SD SDDOY SHZ 0.004
37.12450 118.98160 SD SDHAH SHZ 0.020
39.88800 118.95960 HE L1303 SHZ 0.071
39.69800 118.48000 HE L1301 SHZ 0.038
39.61310 118.33130 HE L1302 SHZ 0.020
39.25290 118.42590 HB HBTAH SHZ 0.008
39.22540 116.44310 HB HBYOQ SHZ 0.013
39.22890 118.98780 HB HBJTG SHZ 0.015
39.01540 115.65830 HB HBXUS SHZ 0.032
38.49030 115.56030 HB HBLIX SHZ 0.027
38.45170 116.09280 HB HBHEJ SHZ 0.011
38.38510 117.45840 HB HBHUH SHZ 0.008
38.35350 114.66170 HB HBXLE SHZ 0.075
38.33790 116.83950 HB HBCAZ SHZ 0.007
38.24040 114.95820 HB HBWUJ SHZ 0.047
38.03020 114.55190 HB HBTAG SHZ 0.067
38.02740 114.15070 HB HBJNX BHZ 0.263
37.75060 114.78070 HB HBZHX SHZ 0.041
41.01610 117.91800 BU BUCDT BHZ 0.406
37.65550 114.40380 HB HBZAH BHZ 0.143
40.20100 118.31800 CC CCQIX BHZ 0.157
40.16100 114.16850 CC CCYAY BHZ 1.070
39.97890 116.30190 BJ BJSZJ SHZ -0.118
40.34280 115.96940 CC CCXBZ BHZ 0.640
39.75840 117.52500 CC CCXAZ SHZ -0.250
39.39840 117.36580 CC CCEWZ SHZ 0.023
39.22930 117.36940 CC CCCHT SHZ -0.010
39.12980 117.74390 CC CCBET SHZ -0.240
39.05470 117.51800 CC CCT23 SHZ 0.011
38.77000 116.85370 CC CCWAK SHZ 0.009
38.74970 117.55570 CC CCTJH SHZ 0.008
38.66080 117.19210 CC CCXZZ SHZ 0.008
38.63260 117.38190 CC CCSJZ SHZ 0.006
41.11300 117.81400 HE L1304 SHZ 0.676
39.79650 118.47550 HE L1311 SHZ 0.072
